FunctionName, u1, u2, N1, N2, N, V, D, E, L, T
hash_insert,19,23,78,61,139,749.532121766248,48.3264342362892,36222.2147905229,0.0206926088341333,2012.34526614016
phash_search,24,33,162,100,262,1528.21718371116,191.027147963895,291930.97007376,0.00523485803279125,16218.38722632
hash_search,21,23,109,77,186,1015.45428106654,65.4718898748205,66483.7108629034,0.015273730480546,3693.53949238352
executable_file,12,7,21,12,33,140.181607943638,17.5227009929548,2456.36040070799,0.0570688274828214,136.464466705999
same_file,15,12,62,39,101,480.24363771851,24.4380336168907,11736.2101628628,0.0409198225878876,652.011675714601
rl_search_history,45,151,1314,959,2273,17308.2354756739,1490.8502561974,25803987.2932334,0.000670758176981921,1433554.84962408
_rl_isearch_init,30,85,403,303,706,4832.91597596673,604.114496995841,2919634.60384431,0.00165531534994249,162201.922435795
_rl_isearch_fini,31,89,467,360,827,5711.99852256824,1201.2899400815,6861766.36292164,0.000832438503507449,381209.242384536
_rl_isearch_cleanup,44,148,1235,912,2147,16284.9144890483,1402.70618413257,22842950.2618582,0.000712907671836063,1269052.79232546
_rl_scxt_alloc,10,31,82,76,158,846.493216729657,72.9129570027207,61720.3235145042,0.0137149834694358,3428.9068619169
_rl_scxt_dispose,7,9,18,17,35,140,17.5,2450,0.0571428571428571,136.111111111111
rl_reverse_search_history,7,4,12,8,20,69.188632372746,5.95958440961991,412.33549481154,0.16779693536781,22.90752748953
rl_forward_search_history,6,4,11,8,19,63.1166338028599,5.43657092067889,343.138055943767,0.183939474825268,19.0632253302093
rl_display_search,18,27,88,66,154,845.74537683477,72.8485415803367,61611.3172507253,0.0137271107740326,3422.85095837363
rl_maybe_replace_line,11,16,34,25,59,280.538362627645,35.0672953284556,9837.72161322498,0.0285165990314783,546.54008962361
rl_get_previous_history,21,19,82,51,133,707.816436620019,60.9679893342568,43154.144958461,0.0164020498448375,2397.45249769228
rl_get_next_history,21,17,69,41,110,577.272026478794,49.723505887188,28703.9890071273,0.0201112126379179,1594.66605595151
_rl_search_getchar,13,17,32,28,60,294.413435736511,36.8016794670639,10834.9088927721,0.0271726729454008,601.939382931783
rl_read_key,15,15,66,30,96,471.061497178418,58.8826871473022,27737.3667654966,0.0169829205908755,1540.96482030536
_rl_isearch_dispatch,40,88,715,508,1223,8561,737.404402733264,6312919.09179947,0.00135610798673482,350717.727322193
rl_rubout,11,12,37,21,58,262.366593451307,22.59902828421,5929.23006623791,0.0442496901824183,329.401670346551
_rl_input_available,17,25,75,52,127,684.824312692903,85.6030390866128,58623.0424069133,0.0116818282466374,3256.83568927296
rl_execute_next,6,6,10,8,18,64.5293250129808,8.0661656266226,520.504223328864,0.123974642511613,28.916901296048
rl_replace_line,11,13,30,22,52,238.4180500375,29.8022562546875,7105.39582296049,0.0335545064593125,394.744212386694
rl_alphabetic,9,8,17,11,28,114.44895955501,14.3061199443762,1637.32054290303,0.0699001548909217,90.9622523835014
_rl_isearch_callback,12,10,23,20,43,191.755559601404,23.9694449501755,4596.27432975594,0.0417197812497815,255.34857387533
rl_getc,22,25,83,52,135,749.869494976481,93.7336868720601,70288.0324370353,0.0106685230611373,3904.89069094641
bind_termcap_arrow_keys,36,183,771,509,1280,9951.7274362895,2092.94697966282,20828437.8802097,0.000477795190091774,1157135.43778943
_rl_get_screen_size,20,35,141,103,244,1410.65177010002,176.331471262502,248742.302060789,0.00567113739164187,13819.0167811549
tgetnum,15,8,25,14,39,176.418916286224,22.0523645357779,3890.45425295069,0.04534661117077,216.13634738615
_rl_set_screen_size,13,11,36,27,63,288.852637545433,36.1065796931791,10429.4807771192,0.0276957831092738,579.415598728842
_rl_init_terminal_io,22,79,247,170,417,2776.4741883075,347.059273538437,963601.114792223,0.0028813521961379,53533.3952662346
rl_set_screen_size,5,4,9,8,17,53.8887250245193,6.73609062806491,362.999335596032,0.148454059663872,20.1666297553351
rl_get_screen_size,8,5,18,11,29,107.312751826092,13.4140939782615,1439.50333806104,0.0745484563937434,79.9724076700579
rl_reset_screen_size,4,5,6,5,11,34.8691750158654,7.33333333333333,255.70728344968,0.136363636363636,14.2059601916489
rl_resize_terminal,6,9,17,9,26,101.579155485821,21.363103846222,2170.04604725514,0.046809677432563,120.558113736397
get_term_capabilities,15,12,33,20,53,252.009037614664,53,13356.4789935772,0.0188679245283019,742.026610754288
tgetstr,16,11,35,20,55,261.518812618991,22.5260044180375,5890.97392845531,0.0443931369914523,327.276329358629
tgetent,32,53,322,215,537,3441.84293270595,296.464213537406,1020383.25816395,0.00337308840101818,56687.958786886
tgetflag,13,7,18,11,29,125.335914751734,15.6669893439667,1963.63644083173,0.0638284725957956,109.09091337954
rl_bind_keyseq_if_unbound,8,6,15,10,25,95.1838730514401,8.1986925659778,780.383312387817,0.121970666902392,43.3546284659898
rl_forward_char,6,4,11,8,19,63.1166338028599,5.43657092067889,343.138055943767,0.183939474825268,19.0632253302093
rl_backward_char,6,4,11,8,19,63.1166338028599,5.43657092067889,343.138055943767,0.183939474825268,19.0632253302093
rl_delete,15,20,63,45,108,553.962565830056,47.7157382306388,26432.73278072,0.0209574458466177,1468.48515448444
rl_get_termcap,19,11,51,28,79,387.644357053073,48.4555446316341,18783.5184443863,0.0206374731230892,1043.5288024659
rl_reset_terminal,8,6,13,9,22,83.7618082852673,10.4702260356584,877.005065902234,0.0955089218317068,48.7225036612352
